,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
SF_003,0.8347024593019491,0.545333260630511,11.324228487186723,20.765702928322614,32.01061350300474,19.014136143545308,29.753664189952023,32.02127319459308,1203.3322391546428,17.33318330340457,0.4854636477298829,1126.9840714377194,0.9365527115183426,1243.9658989187124,-396.29999999999995,-29.0,77969635.0,4.242740901352889,174.0,3.6014020997188902,64.0,114.44515854064704,-181.59053497942386,-130.0,-780.0,844.0,78.37322865519877,231.2511965638416,-1.0235873864864262,66523708.56731063,0.07340325642921793,20501.993518095147,712.7227268862226,26.487766600249834,27367.534276090097,-809.861882979553,75.35443309209278,31.01037814511668,0.41723389487529683,3.7901836961465025,3.476864978053935,16.365399213207255,0.017917991324771558,7.453153672187344,-0.14637736329134507,0.8249258489936715,0.33998998914450945,0.9771573014695156,0.4089680849655596,0.9111966476780597,0.2693372504802376,0.09908656870348284,4.826647468338067,26.591202809302356,75.33021494887049,0.059664803938871226,35.30209750196041,649.9963783414629,1.6479374875129733,1170.5387886669937,0.003981515576441581,0.0031391361604829536,4.890977627456824,1014.8175485552152,0.8032098762506172,0.8644613274242903,0.300486194590882,0.91402213084143,580.7845420071396,0.0030242107634527587,27.01423487544484,0.048068033586200785,36.33771102189688,495.6085409252669,132.48754448398577,107071.09430604982,0.16926363627253566,0.00518988728954814,282.2669039145907,0.5022542774280974,0.7362866141195246,332.94632378551194,0.00464472845427213,5.870753694837915,0.38545953360768176,125.75712060384241,6.795414431141067,212.0713305898491,0.14545358751018458,20.674663791465093,107.02194787379973,32.89868160341411,671.2407407407408,41.14128943758573,32963.26680384088,0.053816698786123454,0.002888276751030487,0.3411297660289346,167.84035171606843,0.0018922141526799279,0.18484436188858386,0.005178752770995895,1358.351730399476,0.1813946291792642,2.634283137784725
SF_005,0.32199717313631804,0.26134021351234255,7.977801575485849,30.52649826931083,18.11691630079468,27.95084971874737,13.441133229754104,34.11621338344864,904.4647216796875,9.829446148468794,0.5597748515258382,807.9760651016156,0.8933196018979246,923.919677734375,-386.0,2.0,57186329.0,4.184679245300197,249.5,2.4988449403115167,38.0,130.46950163004826,-154.21387283236993,-116.0,-661.0,699.0,102.12366457646935,217.3071608276772,-0.7479184988190981,43629706.57348633,0.07478856422785626,23440.4835730276,535.1275013443951,22.839352560406475,26147.456646454644,-814.6246425866563,90.26753494471116,36.420026363821805,0.42736170735596574,4.183503032205871,3.573609810215687,18.538100582063375,0.02161153317444384,7.216967077746807,-0.13572851298383218,0.7996795684186218,0.32904766141258535,0.9626342278428506,0.3965200657657555,0.8873714034897875,0.25638747669949935,0.0990723552387214,4.803316225657616,31.671890327133244,61.335258022158264,0.05868253786912458,37.633561042272945,459.1239210067476,1.6606279700944966,930.0314685601289,0.005958433024243575,0.004957650284782118,4.80950626165678,832.2172931291651,0.796700506191667,0.8611446357111098,0.3046374795121329,0.9112201086104659,397.78724886806265,0.0048116010988684295,26.78544061302682,0.051313104622656744,29.457762657623935,318.132183908046,138.04022988505747,100973.4846743295,0.19669119458781845,0.007776246057080245,283.7739463601533,0.5436282497320943,0.7652610553405353,221.26995773672581,0.0069809867466975924,5.562240046800094,0.4310487200660611,132.6581854347411,6.475261865318664,205.14698596201487,0.16940296115773318,23.631736606567518,90.56895127993394,37.669320793906124,493.4971098265896,44.8860445912469,32673.579686209745,0.06625855844405817,0.004481613548014658,0.38465725933137407,121.97697774840947,0.0031628079696907293,0.3027264276219928,0.004576502254582504,1097.4170403392654,0.3327889663459809,1.9373682542043158
SF_007,0.7178550615539199,0.6146858006061023,9.333055682926986,15.183457424466706,14.573033954615834,19.74856220497904,15.624214316406029,19.814030385668428,823.0621078811245,10.89952176404187,0.6854137909587292,619.6593751700876,0.7528707362866297,840.1607552359968,-355.0,-4.399999999999864,40710130.0,4.1015761462562885,188.75,3.17002670109681,35.0,104.44726222430121,-148.14065510597302,-121.5,-584.0,619.0,72.76159238647998,198.0398404868034,-0.9225580918220906,32950918.657568026,0.0736019691046588,17274.124724811685,395.55016246138024,19.664218767587904,13598.772000016936,-419.6753875411545,63.4733855789906,28.03797766053162,0.38837318416601896,3.527993649642117,3.3481942534540257,15.354326624759047,0.014225469794847208,7.202250414495187,-0.1491057874369642,0.8205882478825934,0.3555304999876343,0.9648874814685905,0.4205378478609212,0.8941170028874783,0.3128575500713056,0.05468633642334537,4.746030477844948,22.87784080988055,58.05105832771888,0.06506873656775952,29.173187190680533,356.2395952152786,1.6133936497856518,648.7862301238669,0.008670196990327946,0.007228088463925596,4.7603603848440015,688.6416655432362,0.7707246431452288,0.8581591818586038,0.24527342257420098,0.8989050210161216,308.4420716364948,0.006981845259475821,19.105263157894736,0.052923166642367694,28.938636136923442,241.0,121.09141274238227,60214.31301939058,0.2694869001052912,0.01348603486072568,194.6454293628809,0.5391840148556257,0.7614207207455855,165.59204223630056,0.012298066926965686,5.568694271445537,0.34778420038535646,112.82379662525611,6.7316215166271105,131.9441233140655,0.12711379895382033,15.30719369173711,76.39884393063583,27.864495045682187,373.4017341040462,37.283236994219656,18088.86416184971,0.08695898288549397,0.0065311175567557035,0.31784152921022024,76.94200589981851,0.004488621072198435,0.24477235638772094,0.007008522840579165,714.7919441326109,0.23447718955596591,2.015116330591906
SF_008,0.865323797589516,0.7025412818539885,8.749201670823844,12.453647773885864,14.092402200262951,12.41578620907727,13.982214673967814,14.510011204907991,833.85530144239,10.776437785541138,0.8668588965419904,494.2304622595595,0.592705306789616,844.4268511145665,-320.2,-18.0,28785268.0,3.397664849611497,139.0,3.516155761913031,20.0,97.27590052878591,-110.72442396313365,-49.0,-547.0,567.0,66.72881376039523,162.88094094048876,-1.3157718721056781,22402814.02371327,0.1549482894094162,14270.302859691225,370.87614511024435,19.116574012781506,9523.19063987807,-454.8634727107204,44.409764731140314,22.780627074000833,0.3138824671070666,2.8845569851107147,3.0180773769443467,14.179393831636187,0.05699677822280486,5.66180897182765,-0.10980917665496434,0.6700211045088843,0.4583039101245815,0.9647462723416075,0.5058095749529496,0.9045222784687675,0.347662619033586,0.15175167667388018,3.950584375523343,16.797597951285283,93.78169069454052,0.1108588324057312,25.3581436372047,322.82004822528205,2.194638528383438,855.2346527688891,0.009883135944114187,0.00692130043904463,4.459904685571486,574.1535827366613,0.6782132327073775,0.7770294221907125,0.5172085868296337,0.848554043559345,256.44648905412555,0.0065186235821470965,19.78481012658228,0.06261015862842494,20.837556080756286,199.93987341772151,504.8892405063291,227909.6170886076,1.1395235784344675,0.012256382792386137,169.69620253164558,0.5370132991507771,0.7608474020152647,140.5937820640802,0.010515083466289234,5.229976085028944,0.2912442396313364,493.10001402018906,6.244727327894784,100.52995391705069,0.09265433540741999,30.084231986238827,168.1188940092166,22.908173034041923,349.9345622119816,76.28663594470046,34434.76589861751,0.1789886479417463,0.005933202003691863,0.2612981225346695,52.769658920890166,0.00331241096948941,0.4688894073139581,0.0037677005158463822,541.7658093213266,0.25102928373625744,1.5354948277261546
SF_009,0.9617922420995724,0.8626030236155455,11.582154983008504,13.426981665868315,16.60758462365117,16.762505437007263,17.13867485523224,17.661973729876213,1312.991765796345,12.913966801045337,0.7173996368667664,808.2846047969565,0.6156052351986552,1328.2659429376183,-224.0,39.0,37494008.0,3.66430953729154,124.0,5.890206358086983,79.0,88.56398704177776,-56.14506855373728,-8.0,-661.0,740.0,56.6523463874729,128.7747313965854,-1.6949732780944031,22026543.074140027,0.11607608661845055,13430.662723358857,688.941747460788,26.073953127613073,18795.808407798457,-677.0744745240208,51.35169067794471,15.026689631327866,0.5461805607106577,2.4121821760861586,2.885675619419222,9.008485282121937,0.03383677457016054,6.273300881106786,-0.14933573307222164,0.778856601720476,0.4497053386436748,0.9857673561906785,0.5029423577877596,0.9344133914150524,0.36661415714095685,0.09765182560891615,4.3117122385246525,16.59459507731814,164.22012445490978,0.09168786957423182,23.926801393430516,628.4364277653067,2.1014103324572018,1494.4534939788862,0.004427963999517096,0.002982497295032857,4.649459780179334,1242.1696445735213,0.692715083385025,0.7904262919742796,0.484241431880853,0.8572283792070876,518.3565179447804,0.0027879001506631723,31.12204724409449,0.06126387252774505,26.830166160332325,429.51181102362204,988.6358267716536,785636.2657480316,1.2544925632013362,0.006474908579104224,228.46850393700788,0.449741149482299,0.6967083458517197,277.42156568981784,0.005706772416336356,5.783498295852429,0.22467934542237947,968.8263182776365,6.636914581268675,184.3188854489164,0.08152095773945883,24.612715544096083,262.4480318443167,21.533644841348632,660.498452012384,66.20123839009288,52850.62582927908,0.08526967680434598,0.0026326486256127157,0.20589631123331736,91.36243163294613,0.0013863858101616298,0.2377524587745727,0.0036046127194994913,822.4349309041567,0.08089132900968282,2.9451711775044673
SF_016,0.6862030354642337,0.3526964220966949,4.301548025048466,12.196177096089617,10.459417481987225,14.282993602533049,14.149039278339714,14.282993602533049,212.70116170247397,8.369053744396057,0.5880057560430018,293.0549905998096,1.3777780443424867,225.830078125,-474.5,67.0,20355570.0,4.764558544726686,323.25,2.5631371939879726,209.0,177.73813002191378,-157.91216216216216,-111.5,-770.0,979.0,135.01426053517062,262.23809328083433,-0.6707126077869577,15530067.443847656,0.04487764791818847,43832.56660883857,693.9240050046458,26.359601917456658,48983.46642099401,-907.5477093492192,130.29201632030924,134.30892242427333,0.005561500166176318,8.90836831844621,4.2806603268277605,46.882186747756265,0.006617262045645293,7.575015764686449,-0.34305014784309557,0.9777439944053612,0.15429978403210093,0.9309100825816008,0.22878503070210437,0.8356437045067534,0.15930868922716915,0.02141872525636751,5.074990222668938,66.15023468614564,12.4163540275534,0.043586431169862605,70.67745262547881,697.056192126854,1.1236859879986538,807.871876747845,0.007678447780566199,0.00747764630982818,4.9563134204872386,264.6635343468865,0.9279771159464871,0.9623180873180873,0.04147952544347517,0.9712871505352104,671.1708735992306,0.00743078583832811,6.873015873015873,0.03636516334929033,74.46006550768456,618.1640211640212,6.042328042328043,5478.9047619047615,0.01686314546683623,0.010328382861760715,114.57671957671958,0.6062260295064528,0.8061533781930522,478.5308765488551,0.009826550311881807,5.722713608158657,0.6385135135135135,3.5895411662607426,6.135042368688271,98.31756756756756,0.33215394448502555,1.722562089116143,13.283783783783784,70.11494475894816,704.7804054054054,5.641891891891892,5087.841216216216,0.013764014687498306,0.007253150300220096,0.5743946497517926,351.95068912024266,0.006407229896436868,0.07475648631343342,0.012376989276357477,4154.52346345038,0.7173770764439567,7.695504194291472
SF_017,0.9074796159506548,0.7303898495302348,11.590997716025484,15.869604052521364,21.32397509993153,22.6217409600256,21.15154120418888,22.95652310618923,1500.9244283040364,14.401342190871043,0.6071168814324879,1044.2016284828533,0.695705665649499,1526.641845703125,-355.0,3.0,80328921.0,4.188052691253819,211.0,3.2100733966364663,67.0,119.74937169096611,-138.9960019990005,-90.0,-678.0,745.0,88.87412218379113,200.360645601493,-0.9774894204514997,61286103.05786133,0.07287635542548565,20824.49973414093,597.5520031338224,24.17629960358988,24321.683207179434,-782.3598389028323,80.11748815481425,27.908702693328284,0.4857894046560859,3.618313568315369,3.402111438171433,14.510037515518578,0.01529497324042894,7.400870535411126,-0.11745118736237734,0.7624137311360324,0.3295420023639168,0.9741775073823067,0.40020605970977974,0.9052591971406211,0.2980792395341641,0.0734848939599349,4.816347939062577,27.006547712035623,107.89344483354398,0.06187389524545368,34.42887640751285,534.7885183529747,1.5560361405465706,946.7102495217376,0.004601248147544203,0.0037859008961774092,4.817695804721051,1391.4695462801517,0.7977642124275343,0.871026025448814,0.23544132781558863,0.9124574567149428,471.6890808549416,0.003649510898040812,36.378531073446325,0.05138210603594114,31.537112180407934,370.1906779661017,255.1906779661017,198246.40536723164,0.3365161579390866,0.006574939435689174,365.9858757062147,0.5169292029748795,0.7469409723185582,256.9774518527459,0.0057870870111790184,5.769014687430236,0.3538230884557721,247.20286914679687,6.6971983865740174,275.30384807596204,0.13758313247174514,15.26496771604203,145.8255872063968,33.50603908440582,560.3473263368315,34.21639180409795,26044.190404797602,0.048574890156061236,0.0034905579873784932,0.322940490070843,122.60233116722463,0.0021911256354160353,0.3074665154379346,0.0035650413423022544,1124.4474314679653,0.1980032723245668,1.8249737282101768
SF_018,0.625412597738177,0.3354034141415664,6.099756361905378,18.186327582613114,14.620325107534374,18.079711738921613,18.570100506257365,18.597006017434634,660.6801350911459,11.373958376759528,0.6343486836951403,578.2960786367235,0.8753041720513408,674.4384765625,-395.2,5.0,59714288.0,4.3509119167390455,259.0,2.7872736070632107,40.0,136.25617984889746,-167.4081447963801,-128.0,-705.0,745.0,104.99894886555012,232.46522242694508,-0.7750415426950429,36446708.984375,0.061188755348989585,26014.59269384329,603.5924526244478,24.112827985430876,58658.50712422009,-1521.5566365347838,120.11227828998106,31.593186314423125,0.5845529716355714,4.096549223155003,3.535594233821313,14.253671737603595,0.012133582000191101,7.6099570039231885,-0.1582695078697252,0.8466333010859176,0.2836198700028287,0.9704108062093266,0.3610404970046324,0.8930044937826586,0.255605508441835,0.056236638086855875,5.04030700618292,37.926366151101064,53.915067578298164,0.05448573345791679,41.346626621947024,537.0716681336874,1.4310925683206963,876.3276970057076,0.0054435118294310185,0.00464016660070501,4.842400778576809,818.6799213851407,0.826237468060467,0.8943264879916466,0.1733900185290523,0.9258087232779709,480.71952774583707,0.004485948854988805,23.069565217391304,0.050151228733459355,32.54080812854443,399.7630434782609,59.141304347826086,48996.717391304344,0.08508317728106236,0.006573399087673486,220.06521739130434,0.47840264650283554,0.7188639762046248,266.1210597038964,0.005323331269940456,5.776307543835297,0.416289592760181,53.37086483931947,6.553387397117862,184.42443438914026,0.16689994062365635,11.703670277021356,67.61357466063349,41.76097622898794,562.59185520362,25.747511312217195,21198.856108597283,0.041473796503530135,0.004352472456917715,0.36123001395150217,143.81690907000512,0.0024732783643846828,0.20048491444538705,0.006217328266433703,1126.4335500859338,0.2816459658940307,2.925483608049261
SF_019,0.6706867298358086,0.6109248314286944,11.088847398556128,18.150919439015126,18.38838802255075,20.41150331272749,17.375578526559973,20.506913115693802,1664.0199153501499,12.173580802066265,0.796948450039496,852.104595102226,0.512075959693621,1678.727761125522,-282.0,9.0,40252449.0,3.2955537386341045,105.0,4.762942438640685,65.0,90.88424580103361,-75.59544573643412,-18.0,-668.0,733.0,55.1915283203125,139.65011823573874,-1.641284200685904,32738809.878676966,0.1769143230575086,13787.484107165665,651.4493703885574,25.407556422672826,11101.09224470537,-514.203809445872,42.91807237703816,19.312247328527057,0.37857811722797946,2.521286888157354,2.854909799778108,12.86026815989956,0.07079942343790488,5.544522528388746,-0.10574597311068645,0.6642809757765686,0.49763019124561103,0.9811588168773012,0.5393796881784727,0.9319556290120338,0.3675842851851308,0.1880771845621305,3.8347023896320382,15.557579926391298,182.46001861912163,0.11863129880182896,25.9702605000597,583.5556842898652,2.5641970171620683,1735.2501235335278,0.005102745501378552,0.0029434331488311996,4.543844752432959,999.8331062928653,0.6505160191431982,0.7430679785330947,0.7387611895315812,0.8328113487435862,461.3694569549955,0.0027066636225653957,31.026070763500933,0.05777666808845611,25.36494560788434,397.20111731843576,1262.8379888268157,936993.4934823092,1.7086242117024004,0.00534570733356326,294.2625698324022,0.5479749903769129,0.7683561198514306,285.6247382280469,0.004692853044361925,5.387878654757412,0.2601744186046512,1248.0649168253176,6.3086935264105035,166.70736434108528,0.08076907187068084,36.337671263746174,365.1511627906977,22.113348619373838,622.6007751937984,95.32364341085271,70515.7945736434,0.13064601613873922,0.002542248627533142,0.23707516063654022,95.09432740739574,0.0013071304519505613,0.44156724634028477,0.0023754989263126834,671.1872074837071,0.14650613884433875,1.5855512586452438
SF_020,0.5706459885382646,0.2877698233752049,18.03331131286641,62.66574827532875,75.53175264899755,46.25734631205841,49.949907833899296,102.31841499749123,10916.617255562875,35.75995787206503,0.38068678604503176,6251.367703663254,0.5726469617204626,10962.180632155876,-400.79999999999995,24.0,694440552.0,4.569623396583254,255.0,2.760887416855673,178.0,140.85213304097817,-153.54462089018116,-109.0,-766.0,944.0,105.81436913569844,227.53833431062642,-0.7448004280879543,567552581.027215,0.051218088450250505,28197.74297654494,715.3069729112756,26.249935738475887,57610.75565166668,-1368.573166044245,135.72285903320517,30.760713812343365,0.632337099961677,4.01122995835795,3.5201995720249264,14.09674839975863,0.005708441584705493,8.464012483950766,-0.10184618290227225,0.7461610687366359,0.26458740375888357,0.9813056598536429,0.34744839000589484,0.9132404654558156,0.2634203403392705,0.02391491255644026,5.34196869255503,41.62089321138716,589.1813273548788,0.048351091622523636,45.60347007330764,673.708966249996,1.3435464111813114,965.4437113840199,0.0031741205243684617,0.002631156853663647,5.061114165782949,10248.390374958175,0.8401290988457787,0.9082233653917842,0.12789051371059657,0.9329492710687821,618.0343174386949,0.002519780690448952,207.46695491043855,0.04271504115924203,43.661062491858466,522.3850113238625,450.4379246448425,448162.3500102944,0.4653195115924573,0.003746611305904872,2261.5781346510194,0.4656327228023511,0.7096553987591554,349.10105670233605,0.0029154189643819536,6.433888248427102,0.3621113844777455,442.81159379374253,7.123587738049536,2166.39759934392,0.16151476920479535,5.824910374335755,686.9882203832103,45.128073538287104,689.159173935734,17.291210020129725,15144.738089912771,0.025767257646989103,0.002537293499473738,0.326467650673619,174.18506955680428,0.0012167442869288215,1.3144059263317651,0.0006259282005986528,1861.0653610856364,0.1769702641500734,0.4016770975288531
